x,y
0,-0.000127571
5.00E-06,0.03145721
1.00E-05,0.062906333
1.50E-05,0.094258462
2.00E-05,0.125635895
2.50E-05,0.156927516
3.00E-05,0.188012479
3.50E-05,0.21876709
4.00E-05,0.24945782
4.50E-05,0.279814395
5.00E-05,0.309941197
5.50E-05,0.339767238
6.00E-05,0.369189417
6.50E-05,0.398206892
7.00E-05,0.426764384
7.50E-05,0.455078381
8.00E-05,0.482943712
8.50E-05,0.509913337
9.00E-05,0.536865299
9.50E-05,0.563135616
0.0001,0.588725092
0.000105,0.61371286
0.00011,0.638372928
0.000115,0.662119823
0.00012,0.685341134
0.000125,0.707808368
0.00013,0.7295107
0.000135,0.750494965
0.00014,0.77064303
0.000145,0.790448208
0.00015,0.809135485
0.000155,0.82724306
0.00016,0.844297558
0.000165,0.860783588
0.00017,0.876188548
0.000175,0.890816512
0.00018,0.904615301
0.000185,0.917344766
0.00019,0.929224453
0.000195,0.940500038
0.0002,0.950326293
0.000205,0.959590982
0.00021,0.96781608
0.000215,0.975280474
0.00022,0.981488313
0.000225,0.986865797
0.00023,0.991260984
0.000235,0.994547599
0.00024,0.997183505
0.000245,0.998698313
0.00025,0.999174253
0.000255,0.998536477
0.00026,0.997043263
0.000265,0.994662228
0.00027,0.991264688
0.000275,0.986890141
0.00028,0.981565749
0.000285,0.975089299
0.00029,0.967796346
0.000295,0.95970944
0.0003,0.9503293
0.000305,0.940336029
0.00031,0.929226056
0.000315,0.917445522
0.00032,0.904413258
0.000325,0.890913099
0.00033,0.876122068
0.000335,0.860878666
0.00034,0.8443166
0.000345,0.827145913
0.00035,0.809230052
0.000355,0.790582713
0.00036,0.770974655
0.000365,0.750500298
0.00037,0.729528559
0.000375,0.707893196
0.00038,0.685084002
0.000385,0.662086471
0.00039,0.638311055
0.000395,0.613553975
0.0004,0.58887327
0.000405,0.563092961
0.00041,0.536866974
0.000415,0.510130266
0.00042,0.482764048
0.000425,0.455120189
0.00043,0.426888607
0.000435,0.398369659
0.00044,0.369094808
0.000445,0.339650738
0.00045,0.310077146
0.000455,0.279839701
0.00046,0.249539498
0.000465,0.218782431
0.00047,0.188070301
0.000475,0.156722545
0.00048,0.125857771
0.000485,0.094208222
0.00049,0.063033834
0.000495,0.031616162
